# LAST version 984
#
# a=1 b=1 A=1 B=1 e=30 d=12 x=29 y=9 z=29 D=1e+06 E=6.97739e+07
# R=10 u=0 s=2 S=0 M=0 T=0 m=10 l=1 n=10 k=1 w=1000 t=0.910239 j=3 Q=0
# sva_list.fa.lastdb
# Reference sequences=5 normal letters=7166
# lambda=0.661467 K=0.0260716
#
#     A   C   G   T   M   S   K   W   R   Y   B   D   H   V
# A   1  -1  -1  -1   0  -1  -1   0   0  -1  -1   0   0   0
# C  -1   1  -1  -1   0   0  -1  -1  -1   0   0  -1   0   0
# G  -1  -1   1  -1  -1   0   0  -1   0  -1   0   0  -1   0
# T  -1  -1  -1   1  -1  -1   0   0  -1   0   0   0   0  -1
# M   0   0  -1  -1   0   0  -1   0   0   0   0   0   0   0
# S  -1   0   0  -1   0   0   0  -1   0   0   0   0   0   0
# K  -1  -1   0   0  -1   0   0   0   0   0   0   0   0   0
# W   0  -1  -1   0   0  -1   0   0   0   0   0   0   0   0
# R   0  -1   0  -1   0   0   0   0   0  -1   0   0   0   0
# Y  -1   0  -1   0   0   0   0   0  -1   0   0   0   0   0
# B  -1   0   0   0   0   0   0   0   0   0   0   0   0   0
# D   0  -1   0   0   0   0   0   0   0   0   0   0   0   0
# H   0   0  -1   0   0   0   0   0   0   0   0   0   0   0
# V   0   0   0  -1   0   0   0   0   0   0   0   0   0   0
#
# Coordinates are 0-based.  For - strand matches, coordinates
# in the reverse complement of the 2nd sequence are used.
#
# score	name1	start1	alnSize1	strand1	seqSize1	name2	start2	alnSize2	strand2	seqSize2	blocks
# batch 0
142	SVA_B#Other/Other	56	257	+	1383	AluJb#SINE/Alu	20	263	-	298	15,1:0,1,1:0,1,3:0,41,0:6,12,0:5,79,1:0,99,0:1,3	EG2=4.2e-25	E=5.6e-44
133	SVA_D#Other/Other	56	258	+	1386	AluJb#SINE/Alu	20	263	-	298	23,5:0,35,0:6,12,0:5,78,2:0,100,0:1,3	EG2=1.6e-22	E=1.2e-40
130	SVA_A#Other/Other	48	258	+	1640	AluJb#SINE/Alu	20	263	-	298	23,5:0,35,0:6,12,0:5,76,1:0,2,1:0,100,0:1,3	EG2=1.2e-21	E=1.5e-39
129	SVA_E#Other/Other	56	258	+	1382	AluJb#SINE/Alu	20	263	-	298	23,5:0,35,0:6,12,0:5,78,2:0,100,0:1,3	EG2=2.3e-21	E=3.5e-39
108	SVA_F#Other/Other	56	247	+	1375	AluJb#SINE/Alu	20	263	-	298	15,1:0,1,1:0,2,3:0,40,0:6,12,0:5,71,0:7,1,0:2,97,0:1,3	EG2=2.5e-15	E=1.8e-31
55	SVA_B#Other/Other	328	128	+	1383	AluJb#SINE/Alu	29	134	-	298	4,2:0,58,0:7,2,0:4,19,1:0,4,0:1,15,3:0,4,1:0,8,0:1,7	EG2=4.1	E=1.1e-12
53	SVA_D#Other/Other	329	128	+	1386	AluJb#SINE/Alu	29	134	-	298	4,2:0,58,0:7,2,0:4,19,1:0,4,0:1,15,3:0,4,1:0,8,0:1,7	EG2=16	E=5e-12
53	SVA_F#Other/Other	318	128	+	1375	AluJb#SINE/Alu	29	134	-	298	4,2:0,58,0:7,2,0:4,19,1:0,4,0:1,15,3:0,4,1:0,8,0:1,7	EG2=16	E=5e-12
52	SVA_A#Other/Other	321	128	+	1640	AluJb#SINE/Alu	29	134	-	298	4,2:0,58,0:7,3,0:1,1,0:3,17,1:0,4,0:1,15,3:0,4,1:0,8,0:1,7	EG2=30	E=1.1e-11
48	SVA_E#Other/Other	329	124	+	1382	AluJb#SINE/Alu	29	134	-	298	4,2:0,48,0:3,7,0:7,2,0:4,26,0:1,12,3:0,4,1:0,8,0:1,7	EG2=4.2e+02	E=2.3e-10
